Date,Open,High,Low,Close,Adj Close,Volume
2016-11-08,4.02,4.06,3.42,3.42,3.391736,339742000
2016-11-09,3.4,3.54,3.38,3.4,3.371901,61387300
2016-11-10,3.46,3.5,3.3,3.32,3.292562,40651500
2016-11-11,3.34,3.34,3.1,3.1,3.07438,29032700
2016-11-14,2.96,2.98,2.9,2.9,2.876033,16866800
2016-11-15,2.94,3.06,2.92,2.94,2.915703,14992200
2016-11-16,2.96,2.98,2.9,2.9,2.876033,6997000
2016-11-17,2.92,3.02,2.9,2.94,2.915703,15221100
2016-11-18,2.96,3.0,2.92,2.94,2.915703,8525400
2016-11-21,2.96,3.08,2.96,3.02,2.995041,24303500
2016-11-22,3.02,3.04,2.98,2.98,2.955372,6678700
2016-11-23,3.0,3.02,2.94,2.98,2.955372,4679600
2016-11-24,3.02,3.18,3.02,3.14,3.11405,50224100
2016-11-25,3.12,3.14,3.06,3.06,3.034711,13319200
2016-11-28,3.08,3.14,3.06,3.1,3.07438,11913600
2016-11-29,3.14,3.28,3.12,3.22,3.193388,51376200
2016-11-30,3.24,3.3,3.16,3.16,3.133884,29136700
2016-12-01,3.2,3.22,3.14,3.16,3.133884,10146000
2016-12-02,3.16,3.18,3.04,3.06,3.034711,10307700
2016-12-06,3.06,3.1,3.06,3.1,3.07438,1813300
2016-12-07,3.1,3.16,3.06,3.14,3.11405,7311600
2016-12-08,3.2,3.22,3.1,3.12,3.094215,10396600
2016-12-09,3.14,3.14,3.08,3.08,3.054545,4346600
2016-12-13,3.08,3.12,3.06,3.1,3.07438,2705700
2016-12-14,3.12,3.12,3.06,3.06,3.034711,2071000
2016-12-15,3.06,3.08,3.06,3.06,3.034711,1037900
2016-12-16,3.06,3.08,3.06,3.06,3.034711,1785700
2016-12-19,3.06,3.12,3.06,3.06,3.034711,2290500
2016-12-20,3.08,3.08,3.0,3.0,2.975207,2738500
2016-12-21,3.02,3.02,2.98,2.98,2.955372,1351200
2016-12-22,3.0,3.0,2.96,2.98,2.955372,1677900
2016-12-23,2.96,2.98,2.94,2.96,2.935537,1336700
2016-12-26,2.94,3.04,2.94,2.96,2.935537,1811600
2016-12-27,2.98,3.1,2.96,3.0,2.975207,5410800
2016-12-28,3.0,3.04,2.98,2.98,2.955372,1401700
2016-12-29,3.0,3.06,2.98,3.0,2.975207,2762100
2016-12-30,3.0,3.02,2.98,2.98,2.955372,1120600
2017-01-04,2.98,3.02,2.98,3.02,2.995041,1103700
2017-01-05,3.02,3.02,2.98,2.98,2.955372,1251500
2017-01-06,3.0,3.04,2.98,3.0,2.975207,2029700
2017-01-09,3.0,3.02,2.98,3.0,2.975207,1442100
2017-01-10,3.0,3.06,3.0,3.06,3.034711,5128700
2017-01-11,3.06,3.08,3.02,3.02,2.995041,1994400
2017-01-12,3.04,3.06,3.02,3.04,3.014876,2314000
2017-01-16,3.04,3.2,3.04,3.1,3.07438,31445400
2017-01-17,3.12,3.22,3.1,3.12,3.094215,16635800
2017-01-18,3.12,3.16,3.04,3.04,3.014876,7334600
2017-01-19,3.08,3.08,3.04,3.04,3.014876,3136600
2017-01-20,3.04,3.12,3.02,3.06,3.034711,6373200
2017-01-23,3.08,3.16,3.06,3.12,3.094215,4047000
2017-01-24,3.12,3.2,3.1,3.1,3.07438,5643800
2017-01-25,3.12,3.16,3.08,3.08,3.054545,2696100
2017-01-26,3.12,3.12,3.06,3.06,3.034711,3587600
2017-01-27,3.06,3.08,3.06,3.08,3.054545,603800
2017-01-30,3.06,3.1,3.06,3.08,3.054545,842600
2017-01-31,3.08,3.08,3.0,3.0,2.975207,4378400
2017-02-01,3.02,3.08,3.0,3.06,3.034711,2432100
2017-02-02,3.08,3.12,3.04,3.04,3.014876,6000400
2017-02-03,3.06,3.06,3.02,3.04,3.014876,1201100
2017-02-06,3.06,3.06,3.02,3.02,2.995041,842900
2017-02-07,3.02,3.04,3.0,3.0,2.975207,2875200
2017-02-08,3.0,3.08,3.0,3.02,2.995041,2115700
2017-02-09,3.04,3.04,3.0,3.0,2.975207,798100
2017-02-10,3.02,3.04,3.0,3.0,2.975207,608500
2017-02-13,3.0,3.0,3.0,3.0,2.975207,0
2017-02-14,3.02,3.02,3.0,3.0,2.975207,369300
2017-02-15,3.0,3.02,2.98,2.98,2.955372,1531000
2017-02-16,3.0,3.0,2.96,2.96,2.935537,1394500
2017-02-17,3.0,3.04,2.96,2.98,2.955372,2349800
2017-02-20,2.98,3.0,2.96,3.0,2.975207,610900
2017-02-21,3.0,3.06,2.98,2.98,2.955372,2140800
2017-02-22,3.0,3.0,2.98,3.0,2.975207,576300
2017-02-23,2.98,2.98,2.9,2.92,2.895868,2716200
2017-02-24,2.94,2.96,2.9,2.9,2.876033,831800
2017-02-27,2.92,2.94,2.9,2.9,2.876033,425400
2017-02-28,2.94,2.94,2.8,2.8,2.77686,1835400
2017-03-01,2.84,2.84,2.8,2.8,2.77686,560500
2017-03-02,2.8,2.82,2.66,2.7,2.677686,5154900
2017-03-03,2.68,2.7,2.66,2.7,2.677686,1178500
2017-03-06,2.72,2.72,2.6,2.6,2.578512,2780400
2017-03-07,2.62,2.62,2.58,2.6,2.578512,1497000
2017-03-08,2.6,2.62,2.48,2.48,2.459504,3511900
