Date,Open,High,Low,Close,Adj Close,Volume
2015-10-08,1.75,2.02,1.75,1.91,1.91,1263435200.0
2015-10-09,,,,,,
2015-10-12,1.87,1.92,1.85,1.86,1.86,88036600.0
2015-10-13,1.87,1.88,1.84,1.86,1.86,36795600.0
2015-10-14,1.85,1.87,1.83,1.83,1.83,12577200.0
2015-10-15,1.84,1.89,1.83,1.83,1.83,35264900.0
2015-10-16,1.84,1.86,1.82,1.83,1.83,13868000.0
2015-10-19,1.84,1.84,1.82,1.82,1.82,6180800.0
2015-10-20,1.82,1.83,1.8,1.8,1.8,10315300.0
2015-10-21,1.82,1.82,1.75,1.77,1.77,21560700.0
2015-10-22,1.77,1.82,1.76,1.78,1.78,27533500.0
2015-10-26,1.78,1.8,1.75,1.76,1.76,11633800.0
2015-10-27,1.77,1.8,1.75,1.76,1.76,25386100.0
2015-10-28,1.77,1.86,1.76,1.85,1.85,77242300.0
2015-10-29,1.84,1.84,1.76,1.76,1.76,31670600.0
2015-10-30,1.77,1.81,1.75,1.76,1.76,14280600.0
2015-11-02,1.76,1.78,1.75,1.76,1.76,3511700.0
2015-11-03,1.77,1.79,1.77,1.77,1.77,4928000.0
2015-11-04,1.78,1.8,1.76,1.76,1.76,7725800.0
2015-11-05,1.77,1.77,1.68,1.68,1.68,26350500.0
2015-11-06,1.7,1.7,1.58,1.62,1.62,25177000.0
2015-11-09,1.62,1.64,1.58,1.58,1.58,12479800.0
2015-11-10,1.58,1.64,1.57,1.58,1.58,13087900.0
2015-11-11,1.6,1.6,1.53,1.53,1.53,7422400.0
2015-11-12,1.53,1.54,1.5,1.54,1.54,11396100.0
2015-11-13,1.52,1.57,1.52,1.57,1.57,6323300.0
2015-11-16,1.55,1.58,1.54,1.58,1.58,3038800.0
2015-11-17,1.59,1.59,1.55,1.56,1.56,3278100.0
2015-11-18,1.57,1.58,1.55,1.56,1.56,7625800.0
2015-11-19,1.57,1.57,1.54,1.54,1.54,4697200.0
2015-11-20,1.55,1.56,1.52,1.56,1.56,6920100.0
2015-11-23,1.56,1.65,1.56,1.63,1.63,14907400.0
2015-11-24,1.64,1.66,1.62,1.65,1.65,13216200.0
2015-11-25,1.66,1.66,1.63,1.66,1.66,6923100.0
2015-11-26,1.65,1.65,1.63,1.65,1.65,2847400.0
2015-11-27,1.64,1.7,1.64,1.68,1.68,8872500.0
2015-11-30,1.68,1.69,1.66,1.66,1.66,2446500.0
2015-12-01,1.67,1.67,1.62,1.62,1.62,1182100.0
2015-12-02,1.62,1.64,1.59,1.59,1.59,1621900.0
2015-12-03,1.6,1.61,1.53,1.53,1.53,2304600.0
2015-12-04,1.56,1.57,1.53,1.55,1.55,1915500.0
2015-12-08,1.55,1.56,1.5,1.51,1.51,4754700.0
2015-12-09,1.51,1.53,1.5,1.51,1.51,3183100.0
2015-12-11,1.51,1.58,1.51,1.53,1.53,3886200.0
2015-12-14,1.52,1.52,1.5,1.51,1.51,4700600.0
2015-12-15,1.51,1.53,1.51,1.52,1.52,3965300.0
2015-12-16,1.52,1.63,1.51,1.57,1.57,20143200.0
2015-12-17,1.6,1.6,1.56,1.56,1.56,2813900.0
2015-12-18,1.56,1.57,1.54,1.54,1.54,2534700.0
2015-12-21,1.55,1.55,1.52,1.53,1.53,10112300.0
2015-12-22,1.53,1.55,1.53,1.54,1.54,2441400.0
2015-12-23,1.55,1.57,1.54,1.55,1.55,3059900.0
2015-12-24,1.57,1.58,1.54,1.55,1.55,1779200.0
2015-12-25,1.55,1.55,1.53,1.54,1.54,1976900.0
2015-12-28,1.54,1.55,1.53,1.54,1.54,563900.0
2015-12-29,1.54,1.54,1.53,1.53,1.53,443400.0
2015-12-30,1.54,1.54,1.52,1.54,1.54,2572500.0
2016-01-04,1.53,1.54,1.43,1.43,1.43,14189100.0
2016-01-05,1.46,1.48,1.34,1.38,1.38,11014000.0
2016-01-06,1.39,1.4,1.38,1.4,1.4,1405000.0
2016-01-07,1.4,1.43,1.3,1.35,1.35,4669400.0
2016-01-08,1.34,1.36,1.34,1.35,1.35,1175700.0
2016-01-11,1.35,1.35,1.34,1.34,1.34,890300.0
2016-01-12,1.34,1.39,1.33,1.35,1.35,2740400.0
2016-01-13,1.37,1.38,1.35,1.38,1.38,915600.0
2016-01-14,1.35,1.37,1.35,1.35,1.35,310800.0
2016-01-15,1.35,1.42,1.34,1.35,1.35,3255100.0
2016-01-18,1.35,1.37,1.35,1.36,1.36,1205700.0
2016-01-19,1.38,1.52,1.38,1.44,1.44,26171100.0
2016-01-20,1.42,1.45,1.4,1.4,1.4,4405500.0
2016-01-21,1.41,1.44,1.39,1.39,1.39,1840200.0
2016-01-22,1.41,1.44,1.4,1.41,1.41,2110800.0
2016-01-25,1.43,1.48,1.42,1.43,1.43,4496000.0
2016-01-26,1.43,1.52,1.43,1.49,1.49,15383800.0
2016-01-27,1.52,1.57,1.48,1.48,1.48,30846100.0
2016-01-28,1.48,1.49,1.45,1.47,1.47,4334700.0
2016-01-29,1.48,1.49,1.44,1.46,1.46,2089600.0
2016-02-01,1.46,1.47,1.43,1.43,1.43,1784100.0
2016-02-02,1.44,1.45,1.41,1.41,1.41,2673400.0
2016-02-03,1.41,1.43,1.41,1.42,1.42,853700.0
2016-02-04,1.44,1.44,1.41,1.42,1.42,1598100.0
2016-02-05,1.42,1.43,1.41,1.42,1.42,1155100.0
2016-02-08,1.41,1.44,1.41,1.42,1.42,460800.0
2016-02-09,1.42,1.43,1.41,1.42,1.42,543800.0
2016-02-10,1.41,1.43,1.41,1.41,1.41,616400.0
2016-02-11,1.42,1.43,1.4,1.4,1.4,1882300.0
